"","Year","District","Electorate","ColNames","Votes","Percentage"
"1",2005,"Colombo","Colombo-North","Wimal Geeganage",20,0.03
"2",2005,"Colombo","Colombo-North","Chamil Jayaneththi",59,0.1
"3",2005,"Colombo","Colombo-North","Ajith Kumara Jayaweera Arachchige",27,0.04
"4",2005,"Colombo","Colombo-North","Siritunga Jayasuriya",270,0.45
"5",2005,"Colombo","Colombo-North","P. Nelson Perera",5,0.01
"6",2005,"Colombo","Colombo-North","Wije Dias",27,0.04
"7",2005,"Colombo","Colombo-North","Anura De Silva",39,0.06
"8",2005,"Colombo","Colombo-North","Aruna de Soyza",17,0.03
"9",2005,"Colombo","Colombo-North","Mahinda Rajapaksha",14270,23.74
"10",2005,"Colombo","Colombo-North","Ranil Wickramasinghe",45161,75.13
"11",2005,"Colombo","Colombo-North","Achala Ashoka Suraweera",112,0.19
"12",2005,"Colombo","Colombo-North","Victor Hettigoda",101,0.17
"13",2005,"Colombo","Colombo-North","Hewaheenipallage Shantha Dharmadwaja",3,0
"14",2005,"Colombo","Colombo-North","Total No of Valid Votes",60111,98.46
"15",2005,"Colombo","Colombo-North","No of Rejected Votes",939,1.54
"16",2005,"Colombo","Colombo-North","Total No of Votes Polled",61050,71.02
"17",2005,"Colombo","Colombo-Central","Wimal Geeganage",37,0.04
"18",2005,"Colombo","Colombo-Central","Chamil Jayaneththi",71,0.07
"19",2005,"Colombo","Colombo-Central","Ajith Kumara Jayaweera Arachchige",69,0.07
"20",2005,"Colombo","Colombo-Central","Siritunga Jayasuriya",448,0.45
"21",2005,"Colombo","Colombo-Central","P. Nelson Perera",20,0.02
"22",2005,"Colombo","Colombo-Central","Wije Dias",37,0.04
"23",2005,"Colombo","Colombo-Central","Anura De Silva",93,0.09
"24",2005,"Colombo","Colombo-Central","Aruna de Soyza",28,0.03
"25",2005,"Colombo","Colombo-Central","Mahinda Rajapaksha",20395,20.31
"26",2005,"Colombo","Colombo-Central","Ranil Wickramasinghe",78908,78.57
"27",2005,"Colombo","Colombo-Central","Achala Ashoka Suraweera",189,0.19
"28",2005,"Colombo","Colombo-Central","Victor Hettigoda",117,0.12
"29",2005,"Colombo","Colombo-Central","Hewaheenipallage Shantha Dharmadwaja",12,0.01
"30",2005,"Colombo","Colombo-Central","Total No of Valid Votes",100424,98.42
"31",2005,"Colombo","Colombo-Central","No of Rejected Votes",1616,1.58
"32",2005,"Colombo","Colombo-Central","Total No of Votes Polled",102040,70.41
"33",2005,"Colombo","Borella","Wimal Geeganage",17,0.04
"34",2005,"Colombo","Borella","Chamil Jayaneththi",32,0.08
"35",2005,"Colombo","Borella","Ajith Kumara Jayaweera Arachchige",10,0.02
"36",2005,"Colombo","Borella","Siritunga Jayasuriya",115,0.28
"37",2005,"Colombo","Borella","P. Nelson Perera",3,0.01
"38",2005,"Colombo","Borella","Wije Dias",23,0.06
"39",2005,"Colombo","Borella","Anura De Silva",22,0.05
"40",2005,"Colombo","Borella","Aruna de Soyza",18,0.04
"41",2005,"Colombo","Borella","Mahinda Rajapaksha",15644,37.42
"42",2005,"Colombo","Borella","Ranil Wickramasinghe",25784,61.67
"43",2005,"Colombo","Borella","Achala Ashoka Suraweera",60,0.14
"44",2005,"Colombo","Borella","Victor Hettigoda",80,0.19
"45",2005,"Colombo","Borella","Hewaheenipallage Shantha Dharmadwaja",1,0
"46",2005,"Colombo","Borella","Total No of Valid Votes",41809,98.93
"47",2005,"Colombo","Borella","No of Rejected Votes",453,1.07
"48",2005,"Colombo","Borella","Total No of Votes Polled",42262,69.65
"49",2005,"Colombo","Colombo-East","Wimal Geeganage",15,0.03
"50",2005,"Colombo","Colombo-East","Chamil Jayaneththi",33,0.07
"51",2005,"Colombo","Colombo-East","Ajith Kumara Jayaweera Arachchige",13,0.03
"52",2005,"Colombo","Colombo-East","Siritunga Jayasuriya",102,0.22
"53",2005,"Colombo","Colombo-East","P. Nelson Perera",4,0.01
"54",2005,"Colombo","Colombo-East","Wije Dias",23,0.05
"55",2005,"Colombo","Colombo-East","Anura De Silva",24,0.05
"56",2005,"Colombo","Colombo-East","Aruna de Soyza",11,0.02
"57",2005,"Colombo","Colombo-East","Mahinda Rajapaksha",16919,36.62
"58",2005,"Colombo","Colombo-East","Ranil Wickramasinghe",28832,62.4
"59",2005,"Colombo","Colombo-East","Achala Ashoka Suraweera",66,0.14
"60",2005,"Colombo","Colombo-East","Victor Hettigoda",159,0.34
"61",2005,"Colombo","Colombo-East","Hewaheenipallage Shantha Dharmadwaja",5,0.01
