"Year","District","Electorate","ColNames","Votes","Percentage"
2010,"Colombo","Colombo-North","Sarath Fonseka",42896,69.51
2010,"Colombo","Colombo-North","Mahinda Rajapaksha",17605,28.53
2010,"Colombo","Colombo-North","Channa Janaka Sugathsiri Gamage",222,0.36
2010,"Colombo","Colombo-North","Mohomad Cassim Mohomad Ismail",197,0.32
2010,"Colombo","Colombo-North","Vickramabahu Karunaratna",112,0.18
2010,"Colombo","Colombo-North","Panagoda Don Prince Soloman Anura Liyanage",99,0.16
2010,"Colombo","Colombo-North","Sarath Manamendra",89,0.14
2010,"Colombo","Colombo-North","M K Sivajilingam",86,0.14
2010,"Colombo","Colombo-North","Lal Perera",80,0.13
2010,"Colombo","Colombo-North","Achala Ashoka Suraweera",72,0.12
2010,"Colombo","Colombo-North","W V Mahiman Ranjith",57,0.09
2010,"Colombo","Colombo-North","Sirithunga Jayasuriya",43,0.07
2010,"Colombo","Colombo-North","Wije Dias",32,0.05
2010,"Colombo","Colombo-North","Idroos Mohomad Ilyas",29,0.05
2010,"Colombo","Colombo-North","Ukkubanda Wijekoon",26,0.04
2010,"Colombo","Colombo-North","Muthu Bandara Theminimulla",14,0.02
2010,"Colombo","Colombo-North","Sanath Pinnaduwa",12,0.02
2010,"Colombo","Colombo-North","Upali Sarath Kongahage",10,0.02
2010,"Colombo","Colombo-North","Mohamed Musthaffa",10,0.02
2010,"Colombo","Colombo-North","Battaramulle Seelarathana Thero",9,0.01
2010,"Colombo","Colombo-North","Senaratna de Silva",8,0.01
2010,"Colombo","Colombo-North","Aruna de Zoysa",7,0.01
2010,"Colombo","Colombo-North","Total No of Valid Votes",61715,98.37
2010,"Colombo","Colombo-North","No of Rejected Votes",1022,1.63
2010,"Colombo","Colombo-North","Total No of Votes Polled",62737,65.77
2010,"Colombo","Colombo-North","No of Registered Electors",95385,NA
2010,"Colombo","Colombo-Central","Sarath Fonseka",73152,75.55
2010,"Colombo","Colombo-Central","Mahinda Rajapaksha",21824,22.54
2010,"Colombo","Colombo-Central","Channa Janaka Sugathsiri Gamage",387,0.4
2010,"Colombo","Colombo-Central","Mohomad Cassim Mohomad Ismail",259,0.27
2010,"Colombo","Colombo-Central","Panagoda Don Prince Soloman Anura Liyanage",170,0.18
2010,"Colombo","Colombo-Central","Lal Perera",134,0.14
2010,"Colombo","Colombo-Central","Vickramabahu Karunaratna",113,0.12
2010,"Colombo","Colombo-Central","Sarath Manamendra",105,0.11
2010,"Colombo","Colombo-Central","Achala Ashoka Suraweera",96,0.1
2010,"Colombo","Colombo-Central","Sirithunga Jayasuriya",86,0.09
2010,"Colombo","Colombo-Central","M K Sivajilingam",81,0.08
2010,"Colombo","Colombo-Central","Idroos Mohomad Ilyas",73,0.08
2010,"Colombo","Colombo-Central","W V Mahiman Ranjith",67,0.07
2010,"Colombo","Colombo-Central","Ukkubanda Wijekoon",49,0.05
2010,"Colombo","Colombo-Central","Sanath Pinnaduwa",45,0.05
2010,"Colombo","Colombo-Central","Wije Dias",32,0.03
2010,"Colombo","Colombo-Central","Mohamed Musthaffa",30,0.03
2010,"Colombo","Colombo-Central","Upali Sarath Kongahage",29,0.03
2010,"Colombo","Colombo-Central","Aruna de Zoysa",25,0.03
2010,"Colombo","Colombo-Central","Muthu Bandara Theminimulla",23,0.02
2010,"Colombo","Colombo-Central","Battaramulle Seelarathana Thero",23,0.02
2010,"Colombo","Colombo-Central","Senaratna de Silva",23,0.02
2010,"Colombo","Colombo-Central","Total No of Valid Votes",96826,98.66
2010,"Colombo","Colombo-Central","No of Rejected Votes",1320,1.34
2010,"Colombo","Colombo-Central","Total No of Votes Polled",98146,70.19
2010,"Colombo","Colombo-Central","No of Registered Electors",139822,NA
2010,"Colombo","Borella","Sarath Fonseka",23636,57.46
2010,"Colombo","Borella","Mahinda Rajapaksha",16909,41.11
2010,"Colombo","Borella","Panagoda Don Prince Soloman Anura Liyanage",109,0.27
2010,"Colombo","Borella","Mohomad Cassim Mohomad Ismail",67,0.16
2010,"Colombo","Borella","Channa Janaka Sugathsiri Gamage",65,0.16
2010,"Colombo","Borella","W V Mahiman Ranjith",47,0.11
2010,"Colombo","Borella","Vickramabahu Karunaratna",46,0.11
2010,"Colombo","Borella","Lal Perera",34,0.08
2010,"Colombo","Borella","Achala Ashoka Suraweera",34,0.08
2010,"Colombo","Borella","Sarath Manamendra",29,0.07
2010,"Colombo","Borella","M K Sivajilingam",28,0.07
2010,"Colombo","Borella","Ukkubanda Wijekoon",28,0.07
2010,"Colombo","Borella","Sirithunga Jayasuriya",23,0.06
2010,"Colombo","Borella","Idroos Mohomad Ilyas",16,0.04
2010,"Colombo","Borella","Wije Dias",11,0.03
2010,"Colombo","Borella","Aruna de Zoysa",8,0.02
2010,"Colombo","Borella","Muthu Bandara Theminimulla",8,0.02
2010,"Colombo","Borella","Sanath Pinnaduwa",7,0.02
2010,"Colombo","Borella","Upali Sarath Kongahage",7,0.02
2010,"Colombo","Borella","Battaramulle Seelarathana Thero",7,0.02
2010,"Colombo","Borella","Mohamed Musthaffa",7,0.02
2010,"Colombo","Borella","Senaratna de Silva",6,0.01
2010,"Colombo","Borella","Total No of Valid Votes",41132,98.7
2010,"Colombo","Borella","No of Rejected Votes",543,1.3
2010,"Colombo","Borella","Total No of Votes Polled",41675,70.93
2010,"Colombo","Borella","No of Registered Electors",58757,NA
2010,"Colombo","Colombo-East","Sarath Fonseka",28334,58.67
2010,"Colombo","Colombo-East","Mahinda Rajapaksha",19107,39.56
2010,"Colombo","Colombo-East","Panagoda Don Prince Soloman Anura Liyanage",207,0.43
2010,"Colombo","Colombo-East","Vickramabahu Karunaratna",109,0.23
2010,"Colombo","Colombo-East","Mohomad Cassim Mohomad Ismail",81,0.17
2010,"Colombo","Colombo-East","Channa Janaka Sugathsiri Gamage",74,0.15
2010,"Colombo","Colombo-East","M K Sivajilingam",66,0.14
2010,"Colombo","Colombo-East","Sirithunga Jayasuriya",44,0.09
2010,"Colombo","Colombo-East","Achala Ashoka Suraweera",43,0.09
2010,"Colombo","Colombo-East","Lal Perera",38,0.08
2010,"Colombo","Colombo-East","Ukkubanda Wijekoon",31,0.06
2010,"Colombo","Colombo-East","W V Mahiman Ranjith",30,0.06
2010,"Colombo","Colombo-East","Sarath Manamendra",30,0.06
2010,"Colombo","Colombo-East","Wije Dias",25,0.05
2010,"Colombo","Colombo-East","Idroos Mohomad Ilyas",19,0.04
2010,"Colombo","Colombo-East","Battaramulle Seelarathana Thero",14,0.03
2010,"Colombo","Colombo-East","Upali Sarath Kongahage",14,0.03
2010,"Colombo","Colombo-East","Sanath Pinnaduwa",13,0.03
2010,"Colombo","Colombo-East","Muthu Bandara Theminimulla",5,0.01
2010,"Colombo","Colombo-East","Mohamed Musthaffa",4,0.01
2010,"Colombo","Colombo-East","Senaratna de Silva",4,0.01
2010,"Colombo","Colombo-East","Aruna de Zoysa",3,0.01
2010,"Colombo","Colombo-East","Total No of Valid Votes",48295,98.57
2010,"Colombo","Colombo-East","No of Rejected Votes",699,1.43
2010,"Colombo","Colombo-East","Total No of Votes Polled",48994,71.38
2010,"Colombo","Colombo-East","No of Registered Electors",68643,NA
2010,"Colombo","Colombo-West","Sarath Fonseka",19211,73.8
